,SSC_CODE_2016,Census_Name_2016,pop_percentage
125,SSC10126,Back Creek (Queanbeyan-Palerang Regional - NSW),"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
126,SSC10127,Back Creek (Tenterfield - NSW),"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
127,SSC10128,Back Creek (Tweed - NSW),"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
128,SSC10129,Back Forest,"1|United_Kingdom|33.33,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|33.33"
129,SSC10130,Backmede,"1|United_Kingdom|70.0,2|Germany|30.0,3|New_Zealand|30.0,4|India|0.0,5|Indonesia|0.0,0|other_countries|0.0"
130,SSC10131,Backwater,"1|New_Zealand|100.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
131,SSC10132,Badgerys Creek,"1|China_exc_SARs_Taiwan|36.67,2|Italy|16.67,3|Malta|13.33,4|Philippines|6.67,5|New_Zealand|5.0,0|other_countries|20.0"
132,SSC10133,Badja,"1|United_Kingdom|50.0,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
133,SSC10134,Baerami,"1|United_Kingdom|100.0,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
134,SSC10135,Baerami Creek,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
135,SSC10136,Bagnoo,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
136,SSC10137,Bago,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
137,SSC10138,Bagotville,"1|United_Kingdom|100.0,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
138,SSC10139,Bakers Creek (Mid-Coast - NSW),"1|South_Africa|42.86,2|Iran|0.0,3|Indonesia|0.0,4|India|0.0,5|Hong_Kong_SAR_China|0.0,0|other_countries|0.0"
139,SSC10140,Bakers Creek (Nambucca - NSW),"1|New_Zealand|0.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
140,SSC10141,Bakers Creek (Uralla - NSW),"1|Fiji|0.0,2|Poland|0.0,3|Singapore|0.0,4|Canada|0.0,5|China_exc_SARs_Taiwan|0.0,0|other_countries|100.0"
141,SSC10142,Bakers Swamp,"1|New_Zealand|0.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
142,SSC10143,Balaclava (NSW),"1|United_Kingdom|29.49,2|New_Zealand|12.82,3|Canada|3.85,4|Vietnam|3.85,5|Croatia|3.85,0|other_countries|29.49"
143,SSC10144,Balala,"1|United_Kingdom|40.0,2|New_Zealand|25.0,3|South_Africa|15.0,4|Indonesia|0.0,5|India|0.0,0|other_countries|0.0"
144,SSC10145,Balcolyn,"1|United_Kingdom|32.69,2|New_Zealand|19.23,3|Netherlands|7.69,4|South_Africa|4.81,5|Philippines|2.88,0|other_countries|22.12"
145,SSC10146,Bald Blair,"1|United_Kingdom|100.0,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
146,SSC10147,Bald Hills (NSW),"1|United_Kingdom|51.72,2|Canada|13.79,3|Fiji|0.0,4|Poland|0.0,5|Singapore|0.0,0|other_countries|0.0"
147,SSC10148,Bald Nob,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
148,SSC10149,Bald Ridge,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
149,SSC10150,Baldersleigh,"1|Fiji|0.0,2|Poland|0.0,3|Singapore|0.0,4|Canada|0.0,5|China_exc_SARs_Taiwan|0.0,0|other_countries|100.0"
150,SSC10151,Baldry,"1|New_Zealand|0.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
151,SSC10152,Balfours Peak,"1|New_Zealand|100.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
152,SSC10153,Balgowlah,"1|United_Kingdom|35.79,2|New_Zealand|9.65,3|South_Africa|5.8,4|China_exc_SARs_Taiwan|2.92,5|Ireland|2.51,0|other_countries|39.52"
153,SSC10154,Balgowlah Heights,"1|United_Kingdom|41.22,2|South_Africa|9.34,3|New_Zealand|8.73,4|Germany|2.34,5|Ireland|2.13,0|other_countries|30.46"
154,SSC10155,Balgownie,"1|United_Kingdom|23.43,2|Italy|17.31,3|China_exc_SARs_Taiwan|5.24,4|Turkey|4.02,5|New_Zealand|3.85,0|other_countries|45.45"
155,SSC10156,Balickera,"1|New_Zealand|0.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
156,SSC10157,Balladoran,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
157,SSC10158,Ballalaba,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
158,SSC10159,Balldale,"1|United_Kingdom|50.0,2|Philippines|50.0,3|Indonesia|0.0,4|India|0.0,5|Iran|0.0,0|other_countries|0.0"
159,SSC10160,Ballengarra,"1|New_Zealand|0.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
160,SSC10161,Ballimore,"1|Germany|100.0,2|New_Zealand|100.0,3|Egypt|0.0,4|Philippines|0.0,5|Poland|0.0,0|other_countries|0.0"
161,SSC10162,Ballina,"1|United_Kingdom|34.32,2|New_Zealand|14.53,3|India|4.95,4|Philippines|4.42,5|Netherlands|3.16,0|other_countries|36.11"
162,SSC10163,Ballyroe,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
163,SSC10164,Balmain,"1|United_Kingdom|35.87,2|New_Zealand|11.26,3|Ireland|5.14,4|China_exc_SARs_Taiwan|2.83,5|Italy|2.47,0|other_countries|37.66"
